Wavelength,Intensity0
314.10064,1056
314.13706,1042
314.17348,1056
314.2099,1070
314.24632,1060
314.28274,1060
314.31916,1062
314.35558,1064
314.392,1064
314.42842,1066
314.46484,1052
314.50126,1058
314.53768,1062
314.5741,1058
314.61052,1060
314.64694,1058
314.68336,1064
314.71978,1054
314.7562,1048
314.79262,1054
314.82904,1054
314.86546,1054
314.90188,1058
314.9383,1052
314.97472,1058
315.01114,1050
315.04756,1066
315.08398,1062
315.1204,1068
315.15682,1062
315.19324,1066
315.22966,1056
315.26608,1066
315.3025,1066
315.33892,1056
315.37534,1058
315.41176,1068
315.44818,1050
315.4846,1064
315.52102,1054
315.55744,1062
315.59386,1052
315.63028,1060
315.6667,1056
315.70312,1062
315.73954,1044
315.77596,1056
315.81238,1050
315.8488,1054
315.88522,1056
315.92164,1050
315.95806,1060
315.99448,1048
316.0309,1044
316.06732,1064
316.10374,1060
316.14016,1052
316.17658,1064
316.213,1066
316.24942,1052
316.28584,1056
316.32226,1054
316.35868,1062
316.3951,1054
316.43152,1054
316.46794,1060
316.50436,1056
316.54078,1052
316.5772,1060
316.61362,1056
316.65004,1052
316.68646,1056
316.72288,1064
316.7593,1056
316.79572,1056
316.83214,1066
316.86856,1066
316.90498,1066
316.9414,1048
316.97782,1056
317.01424,1070
317.05066,1052
317.08708,1056
317.1235,1062
317.15992,1062
317.19634,1064
317.23276,1056
317.26918,1066
317.3056,1074
317.34202,1068
317.37844,1046
317.41486,1058
317.45128,1056
317.4877,1060
317.52412,1050
317.56054,1060
317.59696,1062
317.63338,1052
317.6698,1072
317.70622,1066
317.74264,1062
317.77906,1058
317.81548,1060
317.8519,1064
317.88832,1070
317.92474,1060
317.96116,1068
317.99758,1058
318.034,1052
318.07042,1066
318.10684,1062
318.14326,1058
318.17968,1072
318.2161,1064
318.25252,1050
318.28894,1060
318.32536,1052
318.36178,1054
318.3982,1062
318.43462,1054
318.47104,1062
318.50746,1066
318.54388,1058
318.5803,1064
318.61672,1064
318.65314,1052
318.68956,1054
318.72598,1064
