Wavelength,Intensity0
299.56906,1054
299.60548,1052
299.6419,1050
299.67832,1046
299.71474,1058
299.75116,1060
299.78758,1050
299.824,1050
299.86042,1056
299.89684,1056
299.93326,1050
299.96968,1050
300.0061,1054
300.04252,1050
300.07894,1054
300.11536,1066
300.15178,1050
300.1882,1050
300.22462,1042
300.26104,1058
300.29746,1068
300.33388,1072
300.3703,1046
300.40672,1044
300.44314,1050
300.47956,1048
300.51598,1050
300.5524,1050
300.58882,1048
300.62524,1056
300.66166,1062
300.69808,1064
300.7345,1054
300.77092,1054
300.80734,1052
300.84376,1050
300.88018,1054
300.9166,1046
300.95302,1048
300.98944,1054
301.02586,1056
301.06228,1050
301.0987,1046
301.13512,1058
301.17154,1062
301.20796,1056
301.24438,1058
301.2808,1058
301.31722,1054
301.35364,1052
301.39006,1060
301.42648,1060
301.4629,1054
301.49932,1048
301.53574,1058
301.57216,1052
301.60858,1044
301.645,1050
301.68142,1052
301.71784,1052
301.75426,1054
301.79068,1058
301.8271,1062
301.86352,1056
301.89994,1050
301.93636,1050
301.97278,1058
302.0092,1052
302.04562,1048
302.08204,1060
302.11846,1054
302.15488,1058
302.1913,1050
302.22772,1054
302.26414,1058
302.30056,1050
302.33698,1056
302.3734,1054
302.40982,1060
302.44624,1058
302.48266,1050
302.51908,1046
302.5555,1054
302.59192,1058
302.62834,1062
302.66476,1070
302.70118,1066
302.7376,1054
302.77402,1060
302.81044,1054
302.84686,1054
302.88328,1052
302.9197,1064
302.95612,1052
302.99254,1056
303.02896,1066
303.06538,1050
303.1018,1048
303.13822,1066
303.17464,1054
303.21106,1056
303.24748,1062
303.2839,1054
303.32032,1048
303.35674,1048
303.39316,1048
303.42958,1052
303.466,1050
303.50242,1054
303.53884,1048
303.57526,1064
303.61168,1064
303.6481,1054
303.68452,1064
303.72094,1058
303.75736,1052
303.79378,1056
303.8302,1058
303.86662,1052
303.90304,1048
303.93946,1046
303.97588,1058
304.0123,1054
304.04872,1048
304.08514,1052
304.12156,1062
304.15798,1054
304.1944,1058
304.23082,1068
304.26724,1060
304.30366,1062
304.34008,1058
304.3765,1066
304.41292,1064
304.44934,1060
304.48576,1054
304.52218,1056
304.5586,1062
304.59502,1048
304.63144,1062
304.66786,1058
304.70428,1050
304.7407,1056
304.77712,1064
304.81354,1062
304.84996,1046
304.88638,1050
304.9228,1050
304.95922,1056
304.99564,1052
305.03206,1054
305.06848,1058
305.1049,1050
305.14132,1056
305.17774,1054
305.21416,1052
305.25058,1050
305.287,1058
305.32342,1056
305.35984,1060
305.39626,1070
305.43268,1052
305.4691,1054
305.50552,1068
305.54194,1056
305.57836,1058
305.61478,1044
305.6512,1050
305.68762,1062
305.72404,1056
305.76046,1054
305.79688,1058
305.8333,1052
305.86972,1066
305.90614,1050
305.94256,1062
305.97898,1052
306.0154,1056
306.05182,1074
306.08824,1054
306.12466,1058
306.16108,1054
306.1975,1060
306.23392,1050
306.27034,1058
306.30676,1044
306.34318,1056
306.3796,1064
306.41602,1058
306.45244,1054
306.48886,1060
306.52528,1058
306.5617,1068
306.59812,1058
306.63454,1060
306.67096,1060
306.70738,1050
306.7438,1050
306.78022,1054
306.81664,1054
306.85306,1052
306.88948,1064
306.9259,1060
306.96232,1064
306.99874,1054
307.03516,1062
307.07158,1056
307.108,1054
307.14442,1056
307.18084,1058
307.21726,1058
307.25368,1068
307.2901,1056
307.32652,1058
307.36294,1062
307.39936,1054
307.43578,1060
307.4722,1060
307.50862,1060
307.54504,1060
307.58146,1060
307.61788,1068
307.6543,1058
307.69072,1054
307.72714,1062
307.76356,1062
307.79998,1060
307.8364,1060
307.87282,1054
307.90924,1062
307.94566,1062
307.98208,1058
308.0185,1060
308.05492,1062
308.09134,1066
308.12776,1054
308.16418,1056
308.2006,1064
308.23702,1056
308.27344,1072
308.30986,1074
308.34628,1062
308.3827,1062
308.41912,1052
308.45554,1060
308.49196,1044
308.52838,1058
308.5648,1060
308.60122,1056
308.63764,1052
308.67406,1054
308.71048,1066
308.7469,1058
308.78332,1062
308.81974,1050
308.85616,1042
308.89258,1052
308.929,1050
308.96542,1056
309.00184,1054
309.03826,1054
309.07468,1062
309.1111,1072
309.14752,1058
309.18394,1048
309.22036,1052
309.25678,1046
309.2932,1066
309.32962,1056
309.36604,1054
309.40246,1058
309.43888,1068
309.4753,1064
309.51172,1066
309.54814,1054
309.58456,1062
309.62098,1056
309.6574,1058
309.69382,1064
309.73024,1062
309.76666,1056
309.80308,1060
309.8395,1058
309.87592,1058
309.91234,1058
309.94876,1062
309.98518,1060
310.0216,1056
310.05802,1046
310.09444,1058
310.13086,1066
310.16728,1056
310.2037,1066
310.24012,1064
310.27654,1054
310.31296,1062
310.34938,1054
310.3858,1052
310.42222,1054
310.45864,1064
310.49506,1060
310.53148,1058
310.5679,1056
310.60432,1066
310.64074,1066
310.67716,1050
310.71358,1066
310.75,1062
310.78642,1062
310.82284,1070
310.85926,1068
310.89568,1058
310.9321,1060
310.96852,1058
311.00494,1058
311.04136,1060
311.07778,1064
311.1142,1060
311.15062,1060
311.18704,1058
311.22346,1060
311.25988,1056
311.2963,1070
311.33272,1060
311.36914,1056
311.40556,1062
311.44198,1044
311.4784,1058
311.51482,1056
311.55124,1056
311.58766,1068
311.62408,1060
311.6605,1066
311.69692,1068
311.73334,1058
311.76976,1064
311.80618,1052
311.8426,1066
311.87902,1070
311.91544,1078
311.95186,1068
311.98828,1064
312.0247,1054
312.06112,1068
312.09754,1058
312.13396,1056
312.17038,1056
312.2068,1062
312.24322,1072
312.27964,1068
312.31606,1054
312.35248,1058
312.3889,1068
312.42532,1052
312.46174,1054
312.49816,1052
312.53458,1066
312.571,1054
312.60742,1060
312.64384,1066
312.68026,1058
312.71668,1054
312.7531,1058
312.78952,1054
312.82594,1056
312.86236,1054
312.89878,1056
312.9352,1068
312.97162,1066
313.00804,1060
313.04446,1070
313.08088,1070
313.1173,1066
313.15372,1058
313.19014,1054
313.22656,1056
313.26298,1066
313.2994,1058
313.33582,1056
313.37224,1064
313.40866,1062
313.44508,1062
313.4815,1064
313.51792,1058
313.55434,1060
313.59076,1056
313.62718,1058
313.6636,1070
313.70002,1066
313.73644,1068
313.77286,1064
313.80928,1068
313.8457,1052
313.88212,1052
313.91854,1064
313.95496,1066
313.99138,1064
314.0278,1056
314.06422,1060
314.10064,1058
314.13706,1056
314.17348,1050
314.2099,1068
314.24632,1056
314.28274,1056
314.31916,1062
314.35558,1064
314.392,1056
314.42842,1058
314.46484,1054
314.50126,1068
314.53768,1062
314.5741,1056
314.61052,1056
314.64694,1062
314.68336,1056
314.71978,1058
314.7562,1066
314.79262,1062
314.82904,1062
314.86546,1060
314.90188,1058
314.9383,1054
314.97472,1054
315.01114,1062
315.04756,1060
315.08398,1070
315.1204,1062
315.15682,1058
315.19324,1064
315.22966,1064
315.26608,1062
315.3025,1070
315.33892,1062
315.37534,1066
315.41176,1060
315.44818,1052
315.4846,1066
315.52102,1060
315.55744,1054
315.59386,1066
315.63028,1068
315.6667,1058
315.70312,1062
315.73954,1058
315.77596,1054
315.81238,1078
315.8488,1058
315.88522,1062
315.92164,1056
315.95806,1076
315.99448,1068
316.0309,1056
316.06732,1056
316.10374,1056
316.14016,1056
316.17658,1068
316.213,1054
316.24942,1056
316.28584,1060
316.32226,1048
316.35868,1072
316.3951,1060
316.43152,1066
316.46794,1056
316.50436,1068
316.54078,1056
316.5772,1072
316.61362,1056
316.65004,1058
316.68646,1064
316.72288,1064
316.7593,1060
316.79572,1056
316.83214,1060
316.86856,1064
316.90498,1066
316.9414,1056
316.97782,1070
317.01424,1054
317.05066,1064
317.08708,1060
317.1235,1052
317.15992,1060
317.19634,1060
317.23276,1060
317.26918,1048
317.3056,1052
317.34202,1058
317.37844,1056
317.41486,1068
317.45128,1060
317.4877,1056
317.52412,1064
317.56054,1068
317.59696,1074
317.63338,1058
317.6698,1072
317.70622,1066
317.74264,1066
317.77906,1060
317.81548,1072
317.8519,1068
317.88832,1072
317.92474,1060
317.96116,1068
317.99758,1050
318.034,1060
318.07042,1064
318.10684,1070
318.14326,1062
318.17968,1062
318.2161,1058
318.25252,1056
318.28894,1062
318.32536,1066
318.36178,1070
318.3982,1066
318.43462,1070
318.47104,1060
318.50746,1062
318.54388,1068
318.5803,1064
318.61672,1052
318.65314,1064
318.68956,1074
318.72598,1064
318.7624,1058
318.79882,1064
318.83524,1056
318.87166,1064
318.90808,1068
318.9445,1066
318.98092,1058
319.01734,1058
319.05376,1064
319.09018,1058
319.1266,1060
319.16302,1066
319.19944,1062
319.23586,1058
319.27228,1068
319.3087,1062
319.34512,1064
319.38154,1058
319.41796,1070
319.45438,1062
319.4908,1068
319.52722,1070
319.56364,1058
319.60006,1066
319.63648,1058
319.6729,1058
319.70932,1064
319.74574,1060
319.78216,1062
319.81858,1066
319.855,1066
319.89142,1064
319.92784,1068
319.96426,1062
320.00068,1060
320.0371,1050
320.07352,1064
320.10994,1050
320.14636,1062
320.18278,1064
320.2192,1062
320.25562,1056
320.29204,1066
320.32846,1060
320.36488,1058
320.4013,1064
320.43772,1074
320.47414,1066
320.51056,1056
320.54698,1060
320.5834,1066
320.61982,1064
320.65624,1068
320.69266,1056
320.72908,1062
320.7655,1054
320.80192,1060
320.83834,1058
320.87476,1062
320.91118,1058
320.9476,1068
320.98402,1064
321.02044,1064
321.05686,1058
321.09328,1064
321.1297,1070
321.16612,1068
321.20254,1060
321.23896,1054
321.27538,1066
321.3118,1058
321.34822,1058
321.38464,1062
321.42106,1064
321.45748,1056
321.4939,1056
321.53032,1066
321.56674,1058
321.60316,1070
321.63958,1054
321.676,1068
321.71242,1070
321.74884,1072
321.78526,1054
321.82168,1056
321.8581,1060
321.89452,1054
321.93094,1052
321.96736,1056
322.00378,1050
322.0402,1056
322.07662,1064
322.11304,1064
322.14946,1064
322.18588,1062
322.2223,1064
322.25872,1060
322.29514,1062
322.33156,1064
322.36798,1062
322.4044,1054
322.44082,1058
322.47724,1062
322.51366,1066
322.55008,1052
322.5865,1060
322.62292,1070
322.65934,1060
322.69576,1072
322.73218,1072
322.7686,1066
322.80502,1062
322.84144,1066
322.87786,1052
322.91428,1066
322.9507,1066
322.98712,1066
323.02354,1054
323.05996,1056
323.09638,1068
323.1328,1054
323.16922,1060
323.20564,1042
323.24206,1060
323.27848,1056
323.3149,1064
323.35132,1068
323.38774,1060
323.42416,1068
323.46058,1070
323.497,1064
323.53342,1062
323.56984,1070
323.60626,1050
323.64268,1056
323.6791,1064
323.71552,1066
323.75194,1070
323.78836,1056
323.82478,1060
323.8612,1052
323.89762,1054
323.93404,1072
323.97046,1062
324.00688,1054
324.0433,1060
324.07972,1056
324.11614,1068
324.15256,1062
324.18898,1062
324.2254,1068
324.26182,1050
324.29824,1056
324.33466,1068
324.37108,1072
324.4075,1064
324.44392,1046
324.48034,1058
324.51676,1066
324.55318,1074
324.5896,1062
324.62602,1082
324.66244,1060
324.69886,1064
324.73528,1056
324.7717,1058
324.80812,1050
324.84454,1068
324.88096,1056
324.91738,1070
324.9538,1054
324.99022,1064
325.02664,1068
325.06306,1046
325.09948,1062
325.1359,1060
325.17232,1060
325.20874,1060
325.24516,1054
325.28158,1058
325.318,1048
325.35442,1054
325.39084,1062
325.42726,1054
325.46368,1062
325.5001,1066
325.53652,1054
325.57294,1066
325.60936,1050
325.64578,1056
325.6822,1054
325.71862,1062
325.75504,1062
325.79146,1062
325.82788,1058
325.8643,1050
325.90072,1066
325.93714,1064
325.97356,1060
326.00998,1064
326.0464,1062
326.08282,1062
326.11924,1062
326.15566,1060
326.19208,1058
326.2285,1060
326.26492,1058
326.30134,1062
326.33776,1064
326.37418,1060
326.4106,1058
326.44702,1052
326.48344,1062
326.51986,1062
326.55628,1056
326.5927,1066
326.62912,1054
326.66554,1056
326.70196,1060
326.73838,1058
326.7748,1058
326.81122,1056
326.84764,1058
326.88406,1048
326.92048,1048
326.9569,1060
326.99332,1052
327.02974,1062
327.06616,1056
327.10258,1054
327.139,1068
327.17542,1070
327.21184,1054
327.24826,1048
327.28468,1060
327.3211,1060
327.35752,1058
327.39394,1056
327.43036,1052
327.46678,1062
327.5032,1058
327.53962,1056
327.57604,1052
327.61246,1064
327.64888,1064
327.6853,1072
327.72172,1052
327.75814,1090
327.79456,1054
327.83098,1054
327.8674,1054
327.90382,1056
327.94024,1062
327.97666,1056
328.01308,1062
328.0495,1044
328.08592,1056
328.12234,1058
328.15876,1040
328.19518,1054
